8100599;Albersdorf b.Gleisdorf;;;;;
8100600;Aschbach NÖ;;;;;
8100601;Flughafen Graz-Feldkirchen;;;;;
8100602;Achenlohe;;;;;
8100603;Achensee Schiffstation;;;;;
8100604;Acharting;;;;;
8100606;Bergham b.Linz Am Dürrweg;;;;;
8100609;Aisthofen;;;;;
8100611;Aich im Jauntal;;;;;
8100613;Allerheiligen-Mürzhofen;;;;;
8100614;Alkoven Schule;;;;;
8100615;Alling-Tobisegg;;;;;
8100619;Angern/March;;;;;
8100622;Arbing;;;;;
8100623;Ardning;;;;;
8100625;Absberg;;;;;
8100626;Ansfelden;;;;;
8100627;Abschlag Fassldorf;;;;;
8100630;Altach;;;;;
8100634;Wien Atzgersdorf;;;;;
8100635;Altenstadt (Feldkirch);;;;;
8100637;Atzenbrugg;;;;;
8100638;Aurolzmünster;;;;;
8100639;Aurachkirchen;;;;;
8100641;Auersthal;;;;;
8100642;Ausschlag-Zöbern;;;;;
8100643;Altweitra;;;;;
8100644;Breitenaich b.Wels;;;;;
8100647;Bärnbach b.Köflach;;;;;
8100650;Berndorf/Triesting Fabrik;;;;;
8100651;Boding;;;;;
8100652;Berndorf/Triesting Stadt;;;;;
8100653;Bad Fischau-Brunn;;;;;
8100655;Bad Fischau;;;;;
8100656;Baumgartenberg;;;;;
8100657;Berg im Drautal;;;;;
8100658;Baumgartner;;;;;
8100661;Böheimkirchen;;;;;
8100663;Bad Blumau;;;;;
8100666;Blankenberg b.Vorchdorf;;;;;
8100667;Bludenz-Moos;;;;;
8100668;Bleiburg Stadt;;;;;
8100669;Blindenmarkt b.Amstetten;;;;;
8100672;Bad Mitterndorf-Heilbrunn;;;;;
8100675;Bockfließ;;;;;
8100677;Bad Radkersburg;;;;;
8100678;Ried im Innkreis Bad;;;;;
8100680;Bruderndorf b.Langschlag;;;;;
8100681;Bergern am Hausruck;;;;;
8100682;Breiteneich b.Horn;;;;;
8100686;Bruckberg im Pinzgau;;;;;
8100687;Breitwiesen;;;;;
8100689;Bisamberg;;;;;
8100691;Wien Brünner Straße;;;;;
8100692;Breitenstein am Semmering;;;;;
8100693;Breitensee b.Marchegg;;;;;
8100695;Breitenschützing;;;;;
8100697;Burgfried b.Gnas;;;;;
8100698;Brunn-Maria Enzersdorf;;;;;
8100699;Bludenz Brunnenfeld;;;;;
8100700;Buchberg/Kamp;;;;;
8100702;Burgeck;;;;;
8100703;Bichl im Zillertal;;;;;
8100705;Brunn/Pitten;;;;;
8100706;Brunn/Schneebergbahn;;;;;
8100707;Baumgarten-Waldbach;;;;;
8100708;Bad Vöslau;;;;;
8100710;Breitenwaida;;;;;
8100711;Bad Wimsbach-Neydharting;;;;;
8100712;Bad Wimsbach Styriasiedlung;;;;;
8100713;Böhlerwerk;;;;;
8100716;Dorf/Enns;;;;;
8100717;Dörnbach-Hitzing;;;;;
8100718;Deutschlandsberg;;;;;
8100719;Deutschkreutz;;;;;
8100720;Deutschfeistritz;;;;;
8100721;Deutsch Wagram;;;;;
8100722;Dechantskirchen;;;;;
8100724;Dürnkrut;;;;;
8100725;Munderfing Dampfsäge;;;;;
8100726;Dietmanns b.Gmünd;;;;;
8100727;Dornach b.Grein;;;;;
8100728;Dornbirn Schoren;;;;;
8100730;Dorf im Pinzgau-Pass Thurn;;;;;
8100731;Dreistetten;;;;;
8100732;Dietrichshofen;;;;;
8100733;Dürnbach/Enns;;;;;
8100734;Dürnberg b.Ottensheim;;;;;
8100735;Dürrwien;;;;;
8100736;Eichberg am Semmering;;;;;
8100737;Eferding Gewerbegebiet;;;;;
8100738;Eben/Achensee;;;;;
8100740;Eberschwang;;;;;
8100743;Eching b.Bürmoos;;;;;
8100745;Emmersdorf im Gailtal;;;;;
8100746;Etsdorf-Straß;;;;;
8100747;Ernsthofen;;;;;
8100749;Eichgraben-Altlengbach;;;;;
8100753;Gmunden Engelhof Lokalbahn;;;;;
8100755;Erlach im Zillertal;;;;;
8100756;Wien Erzherzog-Karl-Straße;;;;;
8100757;Enzesfeld-Lindabrunn;;;;;
8100759;Ennsdorf;;;;;
8100760;Einach;;;;;
8100763;Ehrenhausen;;;;;
8100764;Erlauf;;;;;
8100765;Eisengattern;;;;;
8100766;Ebensee Landungsplatz;;;;;
8100770;Eschenau/Salzach;;;;;
8100772;Elsbethen;;;;;
8100773;Eisenstadt Schule;;;;;
8100774;Eugendorf;;;;;
8100775;Enzersdorf b.Staatz;;;;;
8100777;Falkendorf/Mur;;;;;
8100778;Falkenohren;;;;;
8100779;Frauental-Bad Gams;;;;;
8100780;Felixdorf;;;;;
8100781;Ferndorf in Ktn;;;;;
8100783;Fentsch-St.Lorenzen;;;;;
8100784;Feuerwerksanstalt;;;;;
8100785;Feldham;;;;;
8100788;Finkenstein;;;;;
8100789;Finklham;;;;;
8100790;Fischa;;;;;
8100791;Feldkirch Amberg;;;;;
8100793;Feldbach/Raab Landesbahn;;;;;
8100794;Unterfladnitz;;;;;
8100795;Flaurling;;;;;
8100796;Wien Siemensstraße;;;;;
8100797;Föderlach;;;;;
8100800;Frauenberg/Enns;;;;;
8100802;Frankenfels;;;;;
8100804;Fraham b.Eferding;;;;;
8100806;Frojach;;;;;
8100807;Linz/Donau Franckstraße;;;;;
8100808;Frättingsdorf;;;;;
8100813;Furth-Palt;;;;;
8100814;Furth b.Mattighofen;;;;;
8100817;Gaisfeld;;;;;
8100818;Gagering;;;;;
8100819;Gaishorn am See;;;;;
8100823;Gaisruck b.Stockerau;;;;;
8100826;Grein-Bad Kreuzen;;;;;
8100827;Göllersdorf;;;;;
8100828;Gedersdorf;;;;;
8100830;Geinberg;;;;;
8100831;Gemeinlebarn;;;;;
8100832;Großengersdorf;;;;;
8100833;Geras-Kottaun;;;;;
8100834;Getzersdorf ob der Traisen;;;;;
8100836;Greinsfurth;;;;;
8100837;Groß St.Florian;;;;;
8100839;Großgerungs;;;;;
8100841;Großhaslau;;;;;
8100842;Gisingen (Feldkirch);;;;;
