"Verkehrsstation","BST Code"
"Linz Oed","Lz  H1W"
"Linz Pichling","Ast H1"
"Linz Urfahr","Uf"
"Linz Wegscheid","Wd"
"Lochau-Hörbranz","Lc"
"Lödersdorf","Fb  H1"
"Loipersbach-Schattendorf","Ls"
"Loosdorf","Los"
"Losenstein","Lon"
"Ludesch","Lt"
"Lungitz","Lu"
"Lustenau","Us"
"Maishofen-Saalbach","Z   K1"
"Mallnitz-Obervellach","Ma"
"Mandling","Mdg"
"Mannswörth","Msw"
"Marchegg","Mac"
"Marchtrenk","Mak"
"Maria Anzbach","Hu  H2"
"Maria Ellend","Mae"
"Maria Lanzendorf","Mar"
"Maria Rain","Mrn"
"Maria Saal","Mal"
"Mariahof-St.Lambrecht","Mah"
"Markersdorf a.d.Pielach","Pd  H1"
"Markt Paternion","Ro  H2"
"Markt Sachsenburg","Kel H1"
"Marktl","Lil H1"
"Marz-Rohrbach","Mr  H1"
"Matrei","Mei"
"Mattersburg","Mr"
"Mattersburg Nord","Sau H2"
"Mattighofen","Mho"
"Mauerkirchen","Mau"
"Mauer-Öhling","Ams H1"
"Mautbrücken","Gla H1"
"Mautern","Mu"
"Mauthausen","Mh"
"Melk","Los H1"
"Micheldorf","Mid"
"Micheldorf-Hirt","Fi  H1"
"Michelhausen","Tfd H1"
"Miesenbach-Waidmannsfeld","Oed H1"
"Mining","Mig"
"Mistelbach","Mb"
"Mistelbach Stadt","Mb  H1H"
"Mitterberghütten","Bo  H1"
"Mitterdorf-Veitsch","Mv"
"Mittewald a.d.Drau","Abf K1"
"Mittlern","Ble H2"
"Mixnitz-Bärenschützklamm","Mx"
"Mödling","Md"
"Mogersdorf","Mog"
"Möllbrücke-Sachsenburg","Ssn"
"Möllersdorf Aspangbahn","Guk H2"
"Moosbierbaum-Heiligeneich","Mos"
"Mötz","Sts H1"
"Muckendorf-Wipfing","Aw  H2"
"Mühldorf-Möllbrücke","Kl  H1"
"Mühlheim","Ath H1"
"Mühling","Wie H1"
"Mühling-Plaika","Wie H2"
"Münchendorf","Mue"
"Munderfing","Mun"
"Münster-Wiesing","Bri H1"
"Mureck","Mug"
"Mürzzuschlag","Mz"
"Musau","Rt  H2"
"Nendeln","Nd"
"Nenzing","Lt  K1"
"Nettingsdorf","Net"
"Neubau-Kreuzstetten","N"
"Neudorf","Par H1"
"Neudörfl","Nel"
"Neufelden","Nef"
"Neuhaus a.d.Gail","Fn  H1"
"Neuhaus-Niederwaldkirchen","Nen"
"Neuhofen a.d.Krems","Nkr"
"Neukirchen bei Lambach","La  H2"
"Neukirchen-Gampern","Tm  H1"
"Neulengbach","Nl"
"Neulengbach Stadt","Hu  H4"
"Neumarkt a.d.Y-Karlsbach","Kar H1"
"Neumarkt am Wallersee","Nsk"
"Neumarkt in Steiermark","Nes"
"Neumarkt-Kallham","Neu"
"Neunkirchen N.Ö.","Nek"
"Neuratting","Rd  H3"
"Neusiedl am See","Ns"
"Nickelsdorf","Nif"
"Niederkreuzstetten","Snb H2"
"Niedernfritz-St.Martin","Ebn H1"
"Niederöblarn","Mag H1"
"Niklasdorf","Ni"
"Nikolsdorf","Doe H1"
"Nöstlbach-St.Marien","Net H1"
"Nötsch","Noe"
"Nußbach","Wak H1"
"Nußdorf","Nf"
"Nüziders","B   H1"
"Ober Olberndorf","Su  H1"
"Ober Piesting","Op"
"Ober Radlberg","Ho  H1"
"Ober Waltersdorf","Ti  H1"
"Oberalm","Aj  H5"
"Oberbrunn","Otg H5"
"Oberdrauburg","Od"
"Obereggendorf","Ed"
"Oberhart","Sth H1"
"Oberhofen im Inntal","Zl  H3"
"Oberhofen-Zell am Moos","Edb H1"
"Oberland Haltestelle","Ob  H1H"
"Obernberg-Altheim","Ath"
"Oberndorf in Tirol","Jti H1"
"Obersdorf Haltestelle","Gef H3"
"Obersee","Oa  H2"
"Oberthalheim-Timelkam","Vk  H1"
"Obertrattnach-M Hofk","Gk  H1"
"Obertraun-Dachsteinhöhlen","Oa"
"Obertraun-Koppenbrüllerhöhle","Au  H1"
"Oberweiden","On"
"Öblarn","Oeb"
"Oed","Oed"
"Oepping","Oep"
"Oftering","Hoe H1"
"Ollersbach","Nl  H1"
"Ortmann","Ort"
"Ossiach-Bodensdorf","Oi"
"Ottakring","Ok"
"Ottensheim","Ott"
"Ottnang-Wolfsegg","Otg"
"Ötztal","Oz"
"Paasdorf","Ldf H1"
"Pama","Gtt H1"
"Parndorf","Par"
"Parndorf Ort","Apo H1"
"Pasching","Lz  H2"
"Passering","Tr  H2"
"Paternion-Feistritz Haltestelle","Pf  H1"
"Patsch","I   H2"
"Paudorf","Pau"
"Payerbach-Reichenau","Pr"
"Peggau-Deutschfeistritz","Pg"
"Perchtoldsdorf","Lg  H1"
"Perg","P"
"Perg Schulzentrum","Arb H1"
"Pernegg","Pn"
"Pernitz Raimundviertel","Pem H1"
"Pernitz Wipfelhofstraße","Ort H1"
"Pernitz-Muggendorf","Pem"
"Petersbaumgarten","Sgk H1"
"Peterskirchen","Pra H2"
"Petronell-Carnuntum","Pet"
"Pettenbach","Peb"
"Petzenkirchen","Erf H1"
"Pfaffenschwendt","Hch H1"
"Pfaffstätten","Bf"
"Pfarrwerfen","Rf  H1"
"Pfennigbach","Gru H3"
"Pflach","Rt  H1"
"Pichl","Pic"
"Piesting","Pie"
"Piesting Harzwerk","Woe H2"
"Pill-Vomperbach","Sw  H1H"
"Pinggau Markt","Tau H1"
"Pinsdorf","Gz  H1"
"Pitten","Ptt"
"Plank am Kamp","Plk"
"Platt","Gud H1"
"Pöchlarn","Poe"
"Pöckau","Vw  H1"
"Pöham","Ph"
"Pöndorf","Fm  H1"
"Pörtschach am Wörthersee","Pow"
"Pottenbrunn","Wgm"
"Pottendorf-Landegg","Wp  H1"
"Pottenstein a.d.Triesting","Pt"
"Pottschach","Tn  H1"
"Pram-Haag","Pra"
"Pregarten","Pre"
"Pressbaum","Pm  H1"
"Pressegger See","Ssv H2"
"Prinzersdorf","Pd"
"Pritschitz","Krd H1"
"Pruggern","Grb H1"
"Puch","Pf  H3"
"Puch bei Hallein","Aj  H4"
"Puch Urstein","Aj  H3A"
"Puchberg am Schneeberg","Pub"
"Puchenau","Uf  H1"
"Puchenau West","Puw"
"Pulgarn","Sy  H1"
"Purbach am Neusiedlersee","Pur"
"Pürbach-Schrems","Pue"
"Pürgg","Rg  H1K"
"Purgstall","Pus"
"Purkersdorf Sanatorium","Hf  H4"
"Purkersdorf Zentrum","Upz"
"Purkla","Gof H3"
"Pusarnitz","Uz"
"Raaba","Mes H1"
"Raasdorf","Raf"
"Rabensburg","Nh  H1"
"Radstadt","Rad"
"Rainfeld-Klein Zell","Ror H1"
"Ramingdorf-Haidershofen","Rh"
"Rankweil","Rk"
"Rattenberg-Kramsach","Rdf H1"
"Redl-Zipf","Rz"
"Regelsbrunn","Reg"
"Reichraming","Rei"
"Reith","Re"
"Rekawinkel","Rw"
"Rennweg","Ren"
"Retz","R"
"Reutte in Tirol","Rt"
"Reutte in Tirol Schulzentrum","Bch H4"
"Ried im Innkreis","Rd"
"Riedau","Ri"
"Riedenburg","Lat H1"
"Rietz","Ts  H1"
"Rohr","Stu H1"
"Rohrbach a.d.Gölsen","Ror"
"Rohrbach-Berg","Rob"
"Rohrbach-Vorau","Rv  H1"
"Rohr-Bad Hall","Rr"
"Rohrendorf","Hfa H1"
"Roppen","Rop"
"Rosenau","Hk  H1"
"Rosenbach","Rn"
"Rosenburg","Hna H1"
"Roßleithen","Piv H1"
"Rothengrub","Wil H1A"
"Rothenthurn","Ro"
"Rottenegg","Rog"
"Rum","H   H2"
"Saalfelden","Saa"
"Saffen","Pus H2"
"Salzburg Aigen","Aj"
"Salzburg Aiglhof","Sba"
"Salzburg Gnigl","Sr  H1"
"Salzburg Hbf","Sb"
"Salzburg Kasern","Hw  H1"
"Salzburg Liefering","Lfg"
"Salzburg Mülln-Altstadt","Sbj"
"Salzburg Parsch","Sr  H2"
"Salzburg Sam","Sbm H1"
"Salzburg Süd","Aj  H1"
"Salzburg Taxham Europark","Sbe"
"Sarasdorf","Goe H1"
"Sattendorf","Saf"
"Sattledt","Sad"
"Säusenstein","Poe H2"
"Sautern-Schiltern","Ptt H1"
"Saxen","Ax"
"Schaan-Vaduz","Nd  H1H"
"Schaftenau","K   H1"
"Schalchen-Mattighofen","Mun H1"
"Schärding","Sch"
"Scharnitz","Snz"
"Scharnstein-Mühldorf","Ssm"
"Schauboden","Wie H3"
"Schauersberg","Scb"
"Scheibbs","Sbs"
"Scheiblingkirchen-Warth","Sgk"
"Scheifling","Sf"
"Schiflugschanze Kulm","Ku  H1"
"Schladming","Sdg"
"Schlägl","Oep H1"
"Schleinbach","Snb"
"Schlierbach","Srb"
"Schlins-Beschling","Lt  H2"
"Schlöglmühl","Glo H1"
"Schloß Haus","Ga  H1"
"Schlüßlberg","Wa  H1"
"Schönberg am Kamp","Sbk"
"Schönborn-Mallebarn","Si  H2"
"Schönfeld-Lassee","Sfl"
"Schönwies","Ss"
"Schrambach","Shr"
"Schützen am Gebirge","Sag"
"Schützen Haltestelle","Sag H1"
"Schwanenstadt","Sas"
"Schwarza","Sd  H1"
"Schwarzach in Vorarlberg","Do  H2"
"Schwarzach-St.Veit","Swa"
"Schwarzenau","Swu"
"Schwarzsee","Kzb H2"
"Schwaz","Sw"
"Schwechat","Gs"
"Schwertberg","Swb"
"Sebersdorf","Seb"
"Seebenstein","Ses"
"Seefeld in Tirol","Set"
"Seekirchen am Wallersee","See"
"Selzthal","Sl"
"Semmering","Sem"
"Seyring","Gef H2"
"Siebenbrunn-Leopoldsdorf","Sbl"
"Siebenhirten","Mb  H2H"
"Siebenmühlen-Rosenau","Lng H2"
"Siemensstraße","F   H1"
"Sierndorf","Si"
"Sierndorf a.d.March","Due H2"
"Sigmundsherberg","Sh"
"Silberwald","Str H1"
"Sillian","Sil"
"Silz","Siz"
"Sitzenberg-Reidling","Mos H2H"
"Söchau","Sou"
"Sollenau","Lb  H1"
"Sölling","Pus H1"
"Sonntagberg","Hk  H2"
"Spielberg","Kd  H1"
"Spielfeld-Straß","Sd"
"Spillern","Ko  H2"
"Spital am Pyhrn","Spi"
"Spital am Semmering","Sps"
"Spittal-Millstättersee","Stt"
"St. Paul im Lavanttal","Lav"
"St. Pölten Bildungscampus","Spr H3"
"St.Andrä im Lavanttal","An"
"St.Andrä-Wördern","Aw"
"St.Anton am Arlberg","Ao"
"St.Egyden","Nb  H1S"
"St.Georgen a.d.Gusen","Sge"
"St.Georgen a.d.Gusen Ort","Sge H1"
"St.Georgen a.d.Mattig","Mau H1"
"St.Georgen am Längsee","Lad H1"
"St.Georgen am Steinfelde","Wm  H1"
"St.Georgen ob Judenburg","Tel H1"
"St.Jodok","Sti H1"
"St.Johann i.d.Haide","Gd  H1"
"St.Johann im Pongau","Jp"
"St.Johann in Tirol","Jti"
"St.Johann-Weistrach","Spw H1"
"St.Marein-St.Lorenzen","Mas"
"St.Martin bei Traun","Wd  H1"
"St.Martin im Innkreis","Mn"
"St.Martin-Sittich","Sms"
"St.Michael","M"
"St.Michael ob Bleiburg","Ble H1"
"St.Nikola-Struden","Nk"
"St.Pantaleon","Mh  H1"
"St.Paul","Spa"
"St.Paul Bad","Spa H1"
"St.Peter-Seitenstetten","Sp"
"St.Pölten Hbf","Pb"
"St.Pölten Traisenpark","Vn  H1"
"St.Pölten-Kaiserwald","Pl"
"St.Pölten-Porschestraße","Spr H2"
"St.Stefan im Lavanttal","Ssl"
"St.Stefan-Vorderberg","Ssv"
"St.Urban am Ossiachersee","Oi  H1"
"St.Valentin","Sv"
"St.Veit a.d.Glan","Vps"
"St.Veit a.d.Glan-West","Vs"
"St.Veit a.d.Gölsen","Ror H2"
"St.Veit a.d.Triesting","Ez  H2"
"Staatz","Enz K1"
"Stadl-Paura","Stp"
"Stadt Haag","Spw H2"
"Stadt Rottenmann","Rm  H1"
"Stadt Waidhofen a.d.Ybbs","Wh  H1"
"Stainach-Irdning","Rg"
"Stallegg","Hna H2"
"Stams","Sts"
"Stans","Sns H1"
"Statzendorf","Stf"
"Steeg-Gosau","Stg"
"Stein a.d.Enns","Oeb H1"
"Steinach in Tirol","Sti"
"Steinbachbrücke","Sbb"
"Steindorf am Ossiachersee","Sos"
"Steindorf bei Straßwalchen","Nst"
"Steinfeld im Drautal","Std"
"Steinhaus","Sem H1"
"Steinhaus bei Wels","Sth"
"Steinkogel","Law H2"
"Steyr","Stb"
"Steyr Münichholz","Sbw H1"
"Steyregg","Sy"
"Steyrling","Sng"
"Stiefern","Plk H2"
"Stillfried","Ag  H1"
"Stockerau","Su"
"Strasshof Haltestelle","Shf"
"Straßwalchen","Stw"
"Straßwalchen West","Nsw"
"Stübing","Pg  H1"
"Studenzen-Fladnitz","Stu"
"Suben","Ant H2"
"Sulz-Röthis","Rk  H1"
"Summerau","Smr"
"Tainach-Stein","Tas"
"Takern-St.Margarethen","Tak"
"Tallesbrunn","Gae H2"
"Tassenbach","Sil H2"
"Tattendorf","Tat"
"Tauchendorf-Haidensee","Lif H1"
"Tauchen-Schaueregg","Tau"
"Taufkirchen a d Pram","Tp"
