Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Pörtschach am Wörthersee	Pow	1731	3.c		Kärnten
Pottenbrunn	Wgm	1762	3.d		Niederösterreich
Pottendorf-Landegg	Wp  H1	2501	3.d		Niederösterreich
Pottenstein a.d.Triesting	Pt	1759	3.d		Niederösterreich
Pottschach	Tn  H1	2233	3.d		Niederösterreich
Pram-Haag	Pra	1745	3.d		Oberösterreich
Preding-Wieselsdorf	Pwd	1789	3.c		Steiermark
Pregarten	Pre	1749	3.c		Oberösterreich
Premstätten-Tobelbad	Pms	1723	3.c		Steiermark
Pressbaum	Pm  H1	1719	3.d		Niederösterreich
Pressegger See	Ssv H2	724	3.d		Kärnten
Prinzersdorf	Pd	1674	3.d		Niederösterreich
Pritschitz	Krd H1	1083	3.d		Kärnten
Pruggern	Grb H1	687	3.d		Steiermark
Puch	Pf  H3	1692	3.d		Kärnten
Puch bei Hallein	Aj  H4	28	3.d		Salzburg
Puch Urstein	Aj  H3A	1402929	3.c		Salzburg
Puchberg am Schneeberg	Pub	1773	3.d		Niederösterreich
Puchenau	Uf  H1	2281	3.d		Oberösterreich
Puchenau West	Puw	1785	3.d		Oberösterreich
Pulgarn	Sy  H1	2183	3.d		Oberösterreich
Purbach am Neusiedlersee	Pur	1777	3.d		Burgenland
Pürbach-Schrems	Pue	1776	3.d		Niederösterreich
Pürgg	Rg  H1K	1844	3.d		Steiermark
Purgstall	Pus	1780	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Niederösterreich
Purkersdorf Sanatorium	Hf  H4	808	3.c		Niederösterreich
Purkersdorf Zentrum	Upz	2290	3.d		Niederösterreich
Purkla	Gof H3	665	3.d		Steiermark
Pusarnitz	Uz	2301	3.d		Kärnten
Raaba	Mra	1391	3.d		Steiermark
Raasdorf	Raf	1811	3.c		Niederösterreich
Rabensburg	Nh  H1	1544	3.d		Niederösterreich
Radstadt	Rad	1809	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Salzburg
Rainfeld-Kleinzell	Br  H1	854	3.d		Niederösterreich
