Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Tassenbach	Sil H2	2016	3.d		Tirol
Tattendorf	Tat	2199	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Niederösterreich
Tauchendorf-Haidensee	Lif H1	1222	3.d		Kärnten
Tauchen-Schaueregg	Tau	2201	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Steiermark
Taufkirchen a.d. Pram	Tp	2236	3.d		Oberösterreich
Tauplitz	Ku	1105	3.d		Steiermark
Taxenbach-Rauris	Ta	2193	3.c		Salzburg
Teesdorf	Tat H1	2208	3.d		Niederösterreich
Teichstätt	Nst H3H	498	3.d		Oberösterreich
Telfs-Pfaffenhofen	Ts	2259	3.c		Tirol
Tenneck	Gg  K2	588	3.d		Salzburg
Terfens-Weer	Sw  H2	2161	3.d		Tirol
Ternberg	Te	2209	3.d		Oberösterreich
Ternitz	Tn	2232	3.c		Niederösterreich
Thal	Tl	2227	3.d		Tirol
Thalheim-Pöls	Tel	2211	3.d		Steiermark
Theresienfeld	Fld H1	467	3.d		Niederösterreich
Thörl-Maglern	Th	2216	3.d		Kärnten
Tiffen	Fel H1	427	3.d		Kärnten
Timelkam	Tm	2228	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Tisis	To  H1	457	3.d	Ab Netzfahrplanperiode 2027 wird die Station voraussichtlich nicht mehr angeboten. (Ersatz wird die neue Station Tosters)	Vorarlberg
Tosters	To	5309315	folgt	Ab voraussichtlich Netzfahrplanperiode 2027 wird die Station angeboten (Ersatz für Tisis)	Vorarlberg
Töschling	Pow H1	1732	3.d		Kärnten
Traisen	Trn	2254	3.d		Niederösterreich
Traisen Markt	Lil H2	1227	3.d		Niederösterreich
Traiskirchen Aspangbahn	Ti	2218	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Niederösterreich
Traismauer	Tra	2251	3.d		Niederösterreich
Trasdorf	Mos H1	1448	3.d		Niederösterreich
Trattenbach	Te  H1	2210	3.d		Oberösterreich
Traun	T	2190	3.c		Oberösterreich
Traunkirchen	Tk	2226	3.d		Oberösterreich
Traunkirchen Ort	En  H2	365	3.d		Oberösterreich
Trautmannsdorf a.d.L.	Goe H1A	657	3.d		Niederösterreich
Traxenbichl	Tx	2275	3.d		Oberösterreich
Treibach-Althofen	Tr	2245	3.c		Kärnten
Trieben	Tb	2203	3.d		Steiermark
Trumau	Ti  K1	2220	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Niederösterreich
Tulln an der Donau	Tu	2262	3.c		Niederösterreich
Tulln Stadt	Tus	2269	3.c		Niederösterreich
Tullnerbach-Pressbaum	Pm	1718	3.c		Niederösterreich
Tullnerfeld	Tfd	4384321	3.c		Niederösterreich
Übersbach	Fue H1	514	3.d		Steiermark
Ulmerfeld-Hausmening	Ul	2284	3.d		Niederösterreich
Ulrichsbrücke-Füssen	Rt  H3	1894	3.d		Tirol
Ulrichskirchen	Wol H1	2498	3.d		Niederösterreich
Unter Höflein	Wil H1	2467	3.d		Niederösterreich
Unter Purkersdorf	Up	2289	3.c		Niederösterreich
Unter Radlberg	Hor	863	3.d		Niederösterreich
Unter Tullnerbach	Up  H2	2291	3.d		Niederösterreich
Unterberg-Stefansbrücke	I   H1	929	3.d	Ab Netzfahrplanperiode 2026 wird die Station nicht mehr angeboten.	Tirol
Untereggendorf	Ef  H1	327	3.d		Niederösterreich
Unterhart	Uh	2282	3.d		Oberösterreich
Unterkritzendorf	Ken H2	1021	3.d		Niederösterreich
Unterretzbach	R   H1H	2968346	3.d		Niederösterreich
Untersiebenbrunn	Sbl H1	1952	3.d		Niederösterreich
Unzmarkt	Um	2288	3.c		Steiermark
Urschendorf	Wz  H1	2528	3.d		Niederösterreich
Uttendorf-Helpfau	Mho H2	1409	3.d		Oberösterreich
Velden am Wörthersee	Vel	2310	3.c		Kärnten
Vellach-Khünburg	Ssv H3	725	3.d		Kärnten
Viechtwang	Viw	2325	3.d		Oberösterreich
Viehofen	Vn	2334	3.d		Niederösterreich
Vienna Biocenter-St.Marx	Nw  H1H	1251757	3.c		Wien
Villach Hbf	Vb	2306	3.b		Kärnten
Villach Hbf-Autoverladestelle	Vba	1474	3.d		Kärnten
Villach Landskron	Ru  H1	5402526	3.d		Kärnten
Villach Seebach	Foe H1	483	3.d		Kärnten
Villach St.Ruprecht	Ru	1895	3.d		Kärnten
Villach Warmbad	Vf  H1	2316	3.d		Kärnten
Villach Westbf	Vf	2315	3.c		Kärnten
Vils Stadt	Vi  H1A	5231615	3.d		Tirol
Vitis	Vit	2323	3.d		Niederösterreich
Vöcklabruck	Vk	2326	3.c		Oberösterreich
Vöcklamarkt	Vm	2333	3.d		Oberösterreich
Voitsberg	Vob	2339	3.c		Steiermark
Voitsdorf	Voi	2340	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Volders-Baumkirchen	Fw  H1	518	3.d		Tirol
Völs	Vl	2329	3.d		Tirol
Wagram-Grafenegg	Fs  H1	507	3.d		Niederösterreich
Waidhofen a.d.Ybbs	Wh	2452	3.d		Niederösterreich
Wald am Schoberpaß	Was	2386	3.d		Steiermark
Waldegg	Wag	2372	3.d		Niederösterreich
Waldegg-Dürnbach	Wag H1	1252109	3.d		Niederösterreich
Walding	Ott H1	1647	3.d		Oberösterreich
Wallersee	Nst H2	1577	3.d		Salzburg
Wampersdorf	Wp	2499	3.c		Niederösterreich
Wankham	Ak  H1	37	3.d		Oberösterreich
Wartberg a.d.Krems	Wak	2375	3.c		Oberösterreich
Wartberg im Mürztal	War	2385	3.c		Steiermark
Weikendorf-Dörfles	Gae H1	549	3.d		Niederösterreich
Weissenbach-Neuhaus	Web	2409	3.d		Niederösterreich
Weißenbach-St.Gallen	Weg	2415	3.d		Steiermark
Weissenstein-Kellerberg	Pf  H2	1691	3.d		Kärnten
Weitersfeld a.d.Mur	Wem	2420	3.d		Steiermark
Weitlanbrunn	Sc  H3	1963	3.d		Tirol
Weizelsdorf	Wef	2412	3.d		Kärnten
Wels Hbf	We	2401	3.b		Oberösterreich
Wels Lokalbahn	Wl	2480	3.d		Oberösterreich
Wels Messe	Wl  H1	2482	3.d		Oberösterreich
Wendling	Neu H1P	1530	3.d		Oberösterreich
Werfen	Rf	1836	3.c		Salzburg
Werndorf	Wr	2504	3.c		Steiermark
Wernstein	Sch H1	2426	3.d		Oberösterreich
Westendorf	Kit H1H	2431	3.d		Tirol
Weststeiermark	Wst	5705361	3.c		Steiermark
Wettmannstätten	Wtt	1791	3.c		Steiermark
Weyer	Wey	2441	3.d		Oberösterreich
Wiederndorf-Aich/Vidra vas-Dob	Wia	5012210	3.d		Kärnten
Wien Aspern Nord	Sty	4773541	3.c		Wien
Wien Atzgersdorf	Lga	115	3.c		Wien
Wien Blumental	Id	934	3.d		Wien
Wien Breitensee	Ok  H1	1621	3.c		Wien
Wien Brünner Straße	Bse	400	3.c		Wien
Wien Erzherzog Karl-Straße	Stk	2095	3.c		Wien
Wien Floridsdorf	F	398	3.b		Wien
Wien Franz-Josefs-Bf	Wf	2444	3.d		Wien
Wien Grillgasse	Sg	1998	3.c		Wien
Wien Hadersdorf	Hf  H2	805	3.c		Wien
Wien Haidestraße	Wbf H2	2396	3.d		Wien
Wien Hauptbahnhof	Wbf	2393	3.a		Wien
Wien Hauptbahnhof Südtiroler Platz	Wsp	4773103	3.a		Wien
Wien Heiligenstadt	Ht	901	3.c		Wien
Wien Hetzendorf	Het	1348	3.c		Wien
Wien Hirschstetten	Stc	2096	3.c		Wien
Wien Hütteldorf	Hf	804	3.c		Wien
Wien Matzleinsdorfer Platz	Wbf H1S	1349	3.c		Wien
Wien Meidling	Mi	1410	3.a		Wien
Wien Mitte	Hz	926	3.c		Wien
Wien Mitte - CAT	Cat	4747985	3.c		Wien
Wien Oberdöbling	Ht  H1	902	3.c		Wien
Wien Penzing	Pz	1797	3.c		Wien
Wien Praterkai	El  H1	353	3.d		Wien
Wien Praterstern	Nw	1584	3.b		Wien
Wien Quartier Belvedere	Wwb	1351	3.c		Wien
Wien Simmering	Wbf H1	4741048	3.c		Wien
Wien Speising	Hf  H1A	806	3.d		Wien
Wien Spittelau	Wf  H1	2446	3.c		Wien
Wien Stadlau	El  H3	4407597	3.c		Wien
Wien Strebersdorf	Sdf	1969	3.d		Wien
Wien Süßenbrunn	Sue	2145	3.c		Wien
Wien Traisengasse	Nw  H1	1585	3.c		Wien
Wien Weidlingau	Hf  H3	807	3.c		Wien
Wien Westbf	Ws	2511	3.a		Wien
Wien Wolf in der Au	Hf  H1	2968384	3.c		Wien
Wiener Neustadt Anemonensee	Nb  H1A	1501	3.d		Niederösterreich
Wiener Neustadt Civitas Nova	Ed  H1	315	3.d		Niederösterreich
Wiener Neustadt Hbf	Nb	1499	3.b		Niederösterreich
Wiener Neustadt Nord	Fld H2	468	3.d		Niederösterreich
Wies Markt	Bgl H2	1696	3.d		Steiermark
Wies-Eibiswald	Wew	2440	3.d		Steiermark
Wieselburg a.d.Erlauf	Wie	2459	3.d		Niederösterreich
Wiesenfeld-Schwarzenbach	Br  H3	2318	3.d		Niederösterreich
Wiesen-Sigleß	Sau H1	1941	3.d		Burgenland
Wiesmühle	Gdf H1	564	3.d		Oberösterreich
Wildon	Wi	2456	3.d		Steiermark
Wildungsmauer	Reg H1	1833	3.d		Niederösterreich
Wilfleinsdorf	Goe H2	656	3.d		Niederösterreich
Wilfling	Voi H2	2342	3.d		Oberösterreich
Wilhelmsburg a.d.Traisen	Wm	2484	3.d		Niederösterreich
Willendorf	Wil	2466	3.d		Niederösterreich
Windau	Kit H2	2432	3.d		Tirol
Winden	Pur H2H	1570	3.d		Burgenland
Windischgarsten	Win	2468	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Winzendorf	Wz	2527	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Niederösterreich
Wittmannsdorf	Wit	2469	3.d		Niederösterreich
Wolfsberg	Wog	2494	3.c		Kärnten
Wolfsberg Reding	Wog H1	2496	3.d		Kärnten
Wolfsbergkogel	Bt  H1	249	3.d		Niederösterreich
Wolfshütte	At  H2	93	3.d		Oberösterreich
Wolfsthal	Wof	2493	3.d		Niederösterreich
Wolfurt	Wo	2491	3.c		Vorarlberg
Wolkersdorf	Wol	2497	3.c		Niederösterreich
Wöllersdorf	Woe	2492	3.d		Niederösterreich
Wöllersdorf Marchgraben	Woe H1A	1265698	3.d		Niederösterreich
Wopfing	Op  H1	1630	3.d		Niederösterreich
Wörgl Hbf	W	2358	3.b		Tirol
Wörgl Kundl	Kn	1065	3.d		Tirol
Wörgl Süd - Bruckhäusl	Hp  H1	216	3.d		Tirol
Wörschach Schwefelbad	Ln  H1	2397	3.d		Steiermark
Wulkaprodersdorf Rathausgasse/Vulkaprodrstof Rathausgasse	Wul H1H	306	3.d		Burgenland
Ybbs a.d.Donau	Y	2529	3.c		Niederösterreich
Zeiselmauer-Königstetten	Aw  H1	109	3.d		Niederösterreich
Zell a.d.Pram	Ri  H1	1852	3.d		Oberösterreich
Zell am See	Z	2543	3.c		Salzburg
Zellerndorf	Zd	2550	3.d		Niederösterreich
Zeltweg	Zg	2556	3.c		Steiermark
Zentralfriedhof	Cf	263	3.c		Wien
Ziersdorf	Zf	2554	3.d		Niederösterreich
Zirl	Zl	2567	3.d		Tirol
Zöbing	Sbk H1	1949	3.d		Niederösterreich
Zurndorf	Zu	2580	3.d		Burgenland
