8133950	Wien Quartier Belvedere
8102855	Wien Simmering
8101259	Wien Speising
8102404	Wien Spittelau
8105200	Wien Stadlau
8102646	Wien Strebersdorf
8102810	Wien Süßenbrunn
8102803	Wien Traiseng.
8101010	Wien Weidlingau
8101001	Wien Westbf
8101007	Wien Wolf in der Au
8101413	Wieselburg a.d.Erlauf
8133954	Wiesen-Sigleß
8103179	Wildon
8102931	Wildungsmauer
8102972	Wilfleinsdorf
8101305	Wilhelmsburg a.d.Traisen
8101166	Windau
8103008	Winden
8103231	Wittmannsdorf
8103715	Wolfsberg
8103140	Wolfsbergkogel
8103716	Wolfsberg Reding
8102937	Wolfsthal
8102333	Wolfurt
8102869	Wolkersdorf
8101170	Wörgl Hbf
8101172	Wörgl Kundl
8101169	Wörgl Süd - Bruckhäusl
8101460	Wörschach Schwefelbad
8105876	Wulkaprodersdorf Haltestelle
8101045	YBBS
8102416	Zeiselmauer-Königstetten
8101734	Zell a.d.Pram
8101145	Zell am See
8102665	Zellerndorf
8103614	Zeltweg
8133974	Zentralfriedhof
8102428	Ziersdorf
8101194	Zirl
8102978	Zurndorf
